src_id,dst_type,dst_id,visible,visible_any_vertex,distance_m,eye_z,tgt_z
id8001,building,255,False,True,76.6164683932517,97.712,96.161
id8001,building,87,True,True,55.9720262771207,97.712,88.192
id8001,building,85,False,False,46.46785927264757,97.712,87.976
id8001,building,84,False,True,33.03199090937682,97.712,89.933
id8001,building,114,False,False,42.32056660641963,97.712,91.946
id8001,building,97,False,False,35.02795925070765,97.712,98.114
id8001,building,96,False,True,30.118920012529617,97.712,94.936
id8001,building,95,False,False,27.951765004964095,97.712,93.797
id8001,building,92,False,False,24.86259875802225,97.712,96.175
id8001,building,90,False,True,28.996216892651056,97.712,91.813
id8001,building,117,False,False,44.47009766454908,97.712,90.928
id8001,building,118,False,True,45.77770318938479,97.712,90.925
id8001,building,88,False,False,21.604977582298936,97.712,92.096
id8001,building,89,False,True,13.825067581402969,97.712,94.769
id8001,building,94,True,True,11.141199944559041,97.712,96.013
id8001,building,80,False,True,5.038529499544522,97.712,100.507
id8001,building,69,False,False,52.18162469296138,97.712,99.86
id8001,building,73,False,False,37.120249238548276,97.712,100.599
id8001,building,76,False,True,27.424872128649593,97.712,99.356
id8001,building,77,False,True,20.944387666019807,97.712,103.402
id8001,building,70,False,False,45.918973412984684,97.712,99.773
id8001,building,71,False,False,41.48030871452291,97.712,100.715
id8001,building,72,False,False,35.637376847917125,97.712,99.647
id8001,building,74,False,False,34.33944909458782,97.712,101.002
id8001,building,75,False,False,28.991609297944937,97.712,104.259
id8001,building,79,False,False,25.284690184255435,97.712,98.323
id8001,building,78,False,False,18.060406422664084,97.712,98.493
id8001,building,81,False,False,19.587913165602007,97.712,96.984
id8001,building,82,False,False,35.226253154386136,97.712,93.83
id8001,building,83,False,False,17.958663798864308,97.712,93.398
id8001,building,258,False,True,85.32047466221175,97.712,92.629
id8001,building,259,False,True,93.19503082418939,97.712,95.705
id8001,building,260,False,False,95.55925340612602,97.712,95.289
id8001,building,137,False,False,83.75280318490874,97.712,99.766
id8001,building,135,False,False,79.5176325487707,97.712,100.105
id8001,building,136,False,False,81.47716415096032,97.712,99.95
id8001,building,102,False,False,60.71814116652262,97.712,105.096
id8001,building,100,False,False,61.338560573548904,97.712,104.406
id8001,building,99,False,False,62.55976536724842,97.712,103.2
id8001,building,14,False,False,286.30059309180507,97.712,116.801
id8001,building,106,False,False,70.42594501904776,97.712,97.119
id8001,building,109,False,False,60.3683254445941,97.712,94.975
id8001,building,16,False,False,245.10471778931472,97.712,123.721
id8001,building,18,False,False,234.7733881723821,97.712,118.824
id8001,building,240,False,False,102.41192298151697,97.712,102.069
id8001,building,242,False,False,104.79409736792365,97.712,102.218
id8001,building,31,False,False,246.27839733067296,97.712,123.654
id8001,building,29,False,False,239.5397211305323,97.712,124.499
id8001,building,23,False,False,238.28785066604928,97.712,123.603
id8001,building,25,False,False,231.08914130537144,97.712,121.138
id8001,building,34,False,False,254.29209259119133,97.712,114.909
id8001,building,32,False,False,248.1532267365771,97.712,121.293
id8001,building,110,False,False,56.977283736294694,97.712,96.988
id8001,building,127,False,True,67.6979589398007,97.712,97.764
id8001,building,126,True,True,65.06592107226149,97.712,96.266
id8001,building,125,True,True,62.05770059923858,97.712,95.681
id8001,building,124,True,True,60.72631466254548,97.712,95.466
id8001,building,27,False,False,229.03719797179397,97.712,119.345
id8001,building,38,False,False,215.17949881760808,97.712,119.456
id8001,building,26,False,False,223.15222098604983,97.712,119.654
id8001,building,39,False,False,210.75331953927622,97.712,120.226
id8001,building,248,False,True,91.1167339631888,97.712,100.768
id8001,building,249,False,True,79.89360046885166,97.712,98.743
id8001,building,251,True,True,81.51410555141135,97.712,98.509
id8001,building,53,False,False,234.4952954354642,97.712,108.929
id8001,building,54,False,False,235.64315215110986,97.712,106.316
id8001,building,120,False,True,57.105375059949885,97.712,90.365
id8001,building,254,True,True,79.8130402230354,97.712,101.107
id8001,building,256,False,True,76.3374028200624,97.712,93.597
id8001,building,86,False,False,47.74035197093722,97.712,87.155
id8001,building,112,False,False,45.61318499301042,97.712,92.728
id8001,building,113,False,False,44.516315210850905,97.712,92.648
id8001,building,42,False,False,200.58298444039525,97.712,115.146
id8001,building,93,False,True,20.745816049560233,97.712,97.803
id8001,building,91,False,False,34.53379748556427,97.712,91.077
id8001,building,204,False,False,225.08178556363882,97.712,106.07
id8001,building,206,False,False,221.93042563583853,97.712,110.339
id8001,building,115,False,False,48.95173889388338,97.712,91.445
id8001,building,116,False,False,45.50671463146381,97.712,94.037
id8001,building,261,False,False,100.52500246220056,97.712,95.362
id8001,building,262,False,False,108.60431223956705,97.712,94.682
id8001,building,263,False,False,115.92252364089718,97.712,93.51
id8001,building,257,False,True,79.44384929615637,97.712,91.384
id8001,building,202,False,False,217.03878052084397,97.712,106.542
id8001,building,60,False,False,97.91161976590809,97.712,107.52
id8001,building,139,False,False,81.82216431629503,97.712,100.306
id8001,building,140,False,True,78.56224861437461,97.712,103.645
id8001,building,147,False,False,95.14220659806506,97.712,104.376
